=== INBOUND ===

Minimum Inbound freighters needed: 64

Freighter 1 - Used: 350000 m³ | Reward: 219000000isk
  - Rake Kandelin >> UALX-3 - 1st Goonstantinople 128486 m³ | Rush: No

Freighter 61 - Used: 330000 m³ | Reward: 294000000isk
  - Pharter McBeans >> UALX-3 - 1st Goonstantinople 205000 m³ | Rush: No
  - Nero Valius >> UALX-3 - 1st Goonstantinople 125000 m³ | Rush: No

Freighter 62 - Used: 331001 m³ | Reward: 243000000isk
  - Michel VanderWeide >> 49-U6U - ZhongLi Star 180507 m³ | Rush: No
  - El Madroga >> UALX-3 - 1st Goonstantinople 150494 m³ | Rush: No

Freighter 63 - Used: 349372 m³ | Reward: 402000000isk
  - Pharter McBeans >> UALX-3 - 1st Goonstantinople 178620 m³ | Rush: No
  - Michel VanderWeide >> UALX-3 - 1st Goonstantinople 170752 m³ | Rush: No

Freighter 64 - Used: 123757 m³ | Reward: 118000000isk
  - Steff 115 >> UALX-3 - 1st Goonstantinople 123757 m³ | Rush: No
